;Postal Code;City;Administrative Region;Population;Area km²;Population density per km²;Median Age;Neighborhoods;Latitude;Longitude
179;14059;Berlin;Berlin;12504;2.397;5216.52;43.0;Bezirk Charlottenburg-Wilmersdorf, Charlottenburg;52.5220217506446;13.291610342292374
180;14089;Berlin;Berlin;23604;24.1;979.42;43.0;Bezirk Spandau, Kladow;52.47157028443076;13.153645035387084
181;14109;Berlin;Berlin;15413;25.1;614.06;43.0;Bezirk Steglitz-Zehlendorf, Wannsee;52.42130544781615;13.147353023421468
182;14129;Berlin;Berlin;8782;11.0;798.36;43.1;Bezirk Steglitz-Zehlendorf, Nikolassee;52.43970123766383;13.196155564584494
183;14163;Berlin;Berlin;17951;6.7;2679.25;43.0;Bezirk Steglitz-Zehlendorf, Zehlendorf;52.43947069576684;13.2419011063964
184;14165;Berlin;Berlin;16496;3.556;4638.92;43.0;Bezirk Steglitz-Zehlendorf;52.41965120959816;13.256940658899472
185;14167;Berlin;Berlin;30500;5.6;5446.43;43.1;Bezirk Steglitz-Zehlendorf;52.42321044879112;13.27960623831229
186;14169;Berlin;Berlin;12269;2.909;4217.6;43.0;Bezirk Steglitz-Zehlendorf, Zehlendorf;52.44643030425093;13.265874563479604
187;14193;Berlin;Berlin;28038;32.3;868.05;43.0;Bezirk Charlottenburg-Wilmersdorf, Grunewald;52.47634246037944;13.232887580692058
188;14195;Berlin;Berlin;32618;7.8;4181.79;43.0;Bezirk Charlottenburg-Wilmersdorf, Bezirk Steglitz-Zehlendorf, Dahlem;52.459317433202905;13.286944136021498
